pos,turn,result
1r3nk1/r6p/2p1p1pq/1pPpPp2/pP1P3P/P3P1P1/3N1Q2/RR3K2,0,-1
1r3nk1/r6p/2p1p2q/1pPpPpp1/pP1P3P/P3P1P1/3N1Q2/RR3K2,1,-1
1r3nk1/r6p/2p1p2q/1pPpPpp1/pP1P3P/P3PNP1/5Q2/RR3K2,0,-1
1r3nk1/r6p/2p1p2q/1pPpPp2/pP1P3p/P3PNP1/5Q2/RR3K2,1,-1
1r3nk1/r6p/2p1p2q/1pPpPp2/pP1P3P/P3PN2/5Q2/RR3K2,0,-1
1r4k1/r6p/2p1p1nq/1pPpPp2/pP1P3P/P3PN2/5Q2/RR3K2,1,-1
1r4k1/r6p/2p1p1nq/1pPpPp2/pP1P3P/P3PN2/4KQ2/RR6,0,-1
1r4k1/r6p/2p1p1nq/1pPpP3/pP1P1p1P/P3PN2/4KQ2/RR6,1,-1
1r4k1/r6p/2p1p1nq/1pPpP3/pP1P1p1P/P3PN2/4KQ2/R5R1,0,-1
5rk1/r6p/2p1p1nq/1pPpP3/pP1P1p1P/P3PN2/4KQ2/R5R1,1,-1
5rk1/r6p/2p1p1nq/1pPpP1R1/pP1P1p1P/P3PN2/4KQ2/R7,0,-1
5rk1/5r1p/2p1p1nq/1pPpP1R1/pP1P1p1P/P3PN2/4KQ2/R7,1,-1
5rk1/5r1p/2p1p1nq/1pPpP1R1/pP1P1p1P/P3PN2/4KQ2/6R1,0,-1
5r1k/5r1p/2p1p1nq/1pPpP1R1/pP1P1p1P/P3PN2/4KQ2/6R1,1,-1
5r1k/5r1p/2p1p1Rq/1pPpP3/pP1P1p1P/P3PN2/4KQ2/6R1,0,-1
5r1k/5r2/2p1p1pq/1pPpP3/pP1P1p1P/P3PN2/4KQ2/6R1,1,-1
5r1k/5r2/2p1p1pq/1pPpP1N1/pP1P1p1P/P3P3/4KQ2/6R1,0,-1
5r1k/8/2p1p1pq/1pPpPrN1/pP1P1p1P/P3P3/4KQ2/6R1,1,-1
5r1k/8/2p1N1pq/1pPpPr2/pP1P1p1P/P3P3/4KQ2/6R1,0,-1
5r1k/8/2p1N1pq/1pPpPr2/pP1P3P/P3p3/4KQ2/6R1,1,-1
5r1k/8/2p1N1pq/1pPpPr2/pP1P3P/P3Q3/4K3/6R1,0,-1
5r1k/8/2p1N1pq/1pPpP3/pP1P3P/P3Q3/4Kr2/6R1,1,-1
5r1k/8/2p1N1pq/1pPpP3/pP1P3P/P7/4KQ2/6R1,0,-1
5r1k/8/2p1N1p1/1pPpP2q/pP1P3P/P7/4KQ2/6R1,1,-1
5r1k/8/2p1N1p1/1pPpP2q/pP1P3P/P3K3/5Q2/6R1,0,-1
7k/8/2p1N1p1/1pPpP2q/pP1P3P/P3K3/5r2/6R1,1,-1
7k/8/2p1N1p1/1pPpP2q/pP1P3P/P7/5K2/6R1,0,-1
7k/8/2p1N1p1/1pPpPq2/pP1P3P/P7/5K2/6R1,1,-1
7k/8/2p1N1p1/1pPpPq2/pP1P3P/P3K3/8/6R1,0,-1
7k/8/2p1q1p1/1pPpP3/pP1P3P/P3K3/8/6R1,1,-1
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR,0,1
rnbqkbnr/ppppp1pp/8/5p2/3P4/8/PPP1PPPP/RNBQKBNR,1,1
rnbqkbnr/ppppp1pp/8/5p2/3P4/5N2/PPP1PPPP/RNBQKB1R,0,1
rnbqkb1r/ppppp1pp/5n2/5p2/3P4/5N2/PPP1PPPP/RNBQKB1R,1,1
rnbqkb1r/ppppp1pp/5n2/5p2/2PP4/5N2/PP2PPPP/RNBQKB1R,0,1
rnbqkb1r/pppp2pp/4pn2/5p2/2PP4/5N2/PP2PPPP/RNBQKB1R,1,1
rnbqkb1r/pppp2pp/4pn2/5p2/2PP4/4PN2/PP3PPP/RNBQKB1R,0,1
rnbqk2r/pppp2pp/4pn2/5p2/1bPP4/4PN2/PP3PPP/RNBQKB1R,1,1
rnbqk2r/pppp2pp/4pn2/5p2/1bPP4/4PN2/PP1B1PPP/RN1QKB1R,0,1
rnbqk2r/1ppp2pp/4pn2/p4p2/1bPP4/4PN2/PP1B1PPP/RN1QKB1R,1,1
rnbqk2r/1ppp2pp/4pn2/p4p2/1BPP4/4PN2/PP3PPP/RN1QKB1R,0,1
rnbqk2r/1ppp2pp/4pn2/5p2/1pPP4/4PN2/PP3PPP/RN1QKB1R,1,1
rnbqk2r/1ppp2pp/4pn2/5p2/1pPP4/1Q2PN2/PP3PPP/RN2KB1R,0,1
rnb1k2r/1pppq1pp/4pn2/5p2/1pPP4/1Q2PN2/PP3PPP/RN2KB1R,1,1
rnb1k2r/1pppq1pp/4pn2/2P2p2/1p1P4/1Q2PN2/PP3PPP/RN2KB1R,0,1
r1b1k2r/1pppq1pp/2n1pn2/2P2p2/1p1P4/1Q2PN2/PP3PPP/RN2KB1R,1,1
r1b1k2r/1pppq1pp/2n1pn2/1BP2p2/1p1P4/1Q2PN2/PP3PPP/RN2K2R,0,1
r1b1k2r/1pppq1pp/2n1p3/1BPn1p2/1p1P4/1Q2PN2/PP3PPP/RN2K2R,1,1
r1b1k2r/1pppq1pp/2n1p3/1BPn1p2/1p1P4/1Q2PN2/PP3PPP/RN3RK1,0,1
r1b2rk1/1pppq1pp/2n1p3/1BPn1p2/1p1P4/1Q2PN2/PP3PPP/RN3RK1,1,1
r1b2rk1/1pppq1pp/2n1p3/1BPn1p2/1p1P4/1Q2PN2/PP1N1PPP/R4RK1,0,1
r1b2rk1/1pp1q1pp/2npp3/1BPn1p2/1p1P4/1Q2PN2/PP1N1PPP/R4RK1,1,1
r1b2rk1/1pp1q1pp/2nPp3/1B1n1p2/1p1P4/1Q2PN2/PP1N1PPP/R4RK1,0,1
r1b2rk1/1p2q1pp/2npp3/1B1n1p2/1p1P4/1Q2PN2/PP1N1PPP/R4RK1,1,1
r1b2rk1/1p2q1pp/2npp3/1B1n1p2/Pp1P4/1Q2PN2/1P1N1PPP/R4RK1,0,1
r4rk1/1p1bq1pp/2npp3/1B1n1p2/Pp1P4/1Q2PN2/1P1N1PPP/R4RK1,1,1
r4rk1/1p1bq1pp/2npp3/1B1n1p2/Pp1P4/3QPN2/1P1N1PPP/R4RK1,0,1
r4r1k/1p1bq1pp/2npp3/1B1n1p2/Pp1P4/3QPN2/1P1N1PPP/R4RK1,1,1
r4r1k/1p1bq1pp/2npp3/1B1n1p2/Pp1P4/3QPN2/1P1N1PPP/R3R1K1,0,1
r2n1r1k/1p1bq1pp/3pp3/1B1n1p2/Pp1P4/3QPN2/1P1N1PPP/R3R1K1,1,1
r2n1r1k/1p1bq1pp/3pp3/1B1n1p2/Pp1PP3/3Q1N2/1P1N1PPP/R3R1K1,0,1
r2n1r1k/1p1bq1pp/3pp3/1B3p2/Pp1PPn2/3Q1N2/1P1N1PPP/R3R1K1,1,1
r2n1r1k/1p1bq1pp/3pp3/1B3p2/Pp1PPn2/5N2/1P1N1PPP/R3RQK1,0,1
r2n1r1k/1p1bq1pp/3pp3/1B6/Pp1Ppn2/5N2/1P1N1PPP/R3RQK1,1,1
r2n1r1k/1p1bq1pp/3pp3/1B6/Pp1PRn2/5N2/1P1N1PPP/R4QK1,0,1
r2n1r1k/1p2q1pp/2bpp3/1B6/Pp1PRn2/5N2/1P1N1PPP/R4QK1,1,1
r2n1r1k/1p2q1pp/2Bpp3/8/Pp1PRn2/5N2/1P1N1PPP/R4QK1,0,1
r2n1r1k/4q1pp/2ppp3/8/Pp1PRn2/5N2/1P1N1PPP/R4QK1,1,1
r2n1r1k/4q1pp/2ppp3/8/Pp1PRn2/1P3N2/3N1PPP/R4QK1,0,1
r2n1r1k/4q1pp/2p1p3/3p4/Pp1PRn2/1P3N2/3N1PPP/R4QK1,1,1
r2n1r1k/4q1pp/2p1p3/3p4/Pp1P1n2/1P2RN2/3N1PPP/R4QK1,0,1
