e7e5,rnbqkbnr/pppppppp/8/8/2P5/8/PP1PPPPP/RNBQKBNR,g8h6 g8f6 b8c6 b8a6 h7h6 g7g6 f7f6 e7e6 d7d6 c7c6 b7b6 a7a6 h7h5 g7g5 f7f5 e7e5 d7d5 c7c5 b7b5 a7a5
b1c3,rnbqkbnr/pppp1ppp/8/4p3/2P5/8/PP1PPPPP/RNBQKBNR,g1h3 g1f3 d1a4 d1b3 d1c2 b1c3 b1a3 c4c5 h2h3 g2g3 f2f3 e2e3 d2d3 b2b3 a2a3 h2h4 g2g4 f2f4 e2e4 d2d4 b2b4 a2a4
b8c6,rnbqkbnr/pppp1ppp/8/4p3/2P5/2N5/PP1PPPPP/R1BQKBNR,g8e7 g8h6 g8f6 f8e7 f8d6 f8c5 f8b4 f8a3 e8e7 d8e7 d8f6 d8g5 d8h4 b8c6 b8a6 h7h6 g7g6 f7f6 d7d6 c7c6 b7b6 a7a6 e5e4 h7h5 g7g5 f7f5 d7d5 c7c5 b7b5 a7a5
e2e3,r1bqkbnr/pppp1ppp/2n5/4p3/2P5/2N5/PP1PPPPP/R1BQKBNR,c3d5 c3b5 c3e4 c3a4 c3b1 g1h3 g1f3 d1a4 d1b3 d1c2 a1b1 c4c5 h2h3 g2g3 f2f3 e2e3 d2d3 b2b3 a2a3 h2h4 g2g4 f2f4 e2e4 d2d4 b2b4 a2a4
g8f6,r1bqkbnr/pppp1ppp/2n5/4p3/2P5/2N1P3/PP1P1PPP/R1BQKBNR,g8e7 g8h6 g8f6 f8e7 f8d6 f8c5 f8b4 f8a3 e8e7 d8e7 d8f6 d8g5 d8h4 a8b8 c6b8 c6e7 c6a5 c6d4 c6b4 h7h6 g7g6 f7f6 d7d6 b7b6 a7a6 e5e4 h7h5 g7g5 f7f5 d7d5 b7b5 a7a5
a2a3,r1bqkb1r/pppp1ppp/2n2n2/4p3/2P5/2N1P3/PP1P1PPP/R1BQKBNR,c3d5 c3b5 c3e4 c3a4 c3e2 c3b1 g1h3 g1f3 g1e2 f1d3 f1e2 e1e2 d1h5 d1g4 d1a4 d1f3 d1b3 d1e2 d1c2 a1b1 c4c5 e3e4 h2h3 g2g3 f2f3 d2d3 b2b3 a2a3 h2h4 g2g4 f2f4 d2d4 b2b4 a2a4
f8e7,r1bqkb1r/pppp1ppp/2n2n2/4p3/2P5/P1N1P3/1P1P1PPP/R1BQKBNR,h8g8 f8e7 f8d6 f8c5 f8b4 f8a3 e8e7 d8e7 a8b8 f6g8 f6h5 f6d5 f6g4 f6e4 c6b8 c6e7 c6a5 c6d4 c6b4 h7h6 g7g6 d7d6 b7b6 a7a6 e5e4 h7h5 g7g5 d7d5 b7b5 a7a5
g1f3,r1bqk2r/ppppbppp/2n2n2/4p3/2P5/P1N1P3/1P1P1PPP/R1BQKBNR,c3d5 c3b5 c3e4 c3a4 c3e2 c3a2 c3b1 g1h3 g1f3 g1e2 f1d3 f1e2 e1e2 d1h5 d1g4 d1a4 d1f3 d1b3 d1e2 d1c2 a1a2 a1b1 c4c5 e3e4 a3a4 h2h3 g2g3 f2f3 d2d3 b2b3 h2h4 g2g4 f2f4 d2d4 b2b4
e8g8,r1bqk2r/ppppbppp/2n2n2/4p3/2P5/P1N1PN2/1P1P1PPP/R1BQKB1R,h8g8 h8f8 e8f8 a8b8 e7f8 e7d6 e7c5 e7b4 e7a3 f6g8 f6h5 f6d5 f6g4 f6e4 c6b8 c6a5 c6d4 c6b4 e8g8 h7h6 g7g6 d7d6 b7b6 a7a6 e5e4 h7h5 g7g5 d7d5 b7b5 a7a5
f1e2,r1bq1rk1/ppppbppp/2n2n2/4p3/2P5/P1N1PN2/1P1P1PPP/R1BQKB1R,f3g5 f3e5 f3h4 f3d4 f3g1 c3d5 c3b5 c3e4 c3a4 c3e2 c3a2 c3b1 h1g1 f1d3 f1e2 e1e2 d1a4 d1b3 d1e2 d1c2 a1a2 a1b1 c4c5 e3e4 a3a4 h2h3 g2g3 d2d3 b2b3 h2h4 g2g4 d2d4 b2b4
d7d6,r1bq1rk1/ppppbppp/2n2n2/4p3/2P5/P1N1PN2/1P1PBPPP/R1BQK2R,g8h8 f8e8 d8e8 a8b8 e7d6 e7c5 e7b4 e7a3 f6e8 f6h5 f6d5 f6g4 f6e4 c6b8 c6a5 c6d4 c6b4 h7h6 g7g6 d7d6 b7b6 a7a6 e5e4 h7h5 g7g5 d7d5 b7b5 a7a5
d2d4,r1bq1rk1/ppp1bppp/2np1n2/4p3/2P5/P1N1PN2/1P1PBPPP/R1BQK2R,f3g5 f3e5 f3h4 f3d4 f3g1 c3d5 c3b5 c3e4 c3a4 c3a2 c3b1 e2d3 e2f1 h1g1 h1f1 e1f1 d1a4 d1b3 d1c2 a1a2 a1b1 e1g1 c4c5 e3e4 a3a4 h2h3 g2g3 d2d3 b2b3 h2h4 g2g4 d2d4 b2b4
e5d4,r1bq1rk1/ppp1bppp/2np1n2/4p3/2PP4/P1N1PN2/1P2BPPP/R1BQK2R,g8h8 f8e8 d8e8 d8d7 c8d7 c8e6 c8f5 c8g4 c8h3 a8b8 f6e8 f6d7 f6h5 f6d5 f6g4 f6e4 c6b8 c6a5 c6d4 c6b4 e5d4 h7h6 g7g6 b7b6 a7a6 d6d5 e5e4 h7h5 g7g5 b7b5 a7a5
f3d4,r1bq1rk1/ppp1bppp/2np1n2/8/2Pp4/P1N1PN2/1P2BPPP/R1BQK2R,f3g5 f3e5 f3h4 f3d4 f3d2 f3g1 c3d5 c3b5 c3e4 c3a4 c3a2 c3b1 e2d3 e2f1 h1g1 h1f1 e1d2 e1f1 d1d4 d1a4 d1d3 d1b3 d1d2 d1c2 c1d2 a1a2 a1b1 e1g1 e3d4 c4c5 e3e4 a3a4 h2h3 g2g3 b2b3 h2h4 g2g4 b2b4
c6d4,r1bq1rk1/ppp1bppp/2np1n2/8/2PN4/P1N1P3/1P2BPPP/R1BQK2R,g8h8 f8e8 d8e8 d8d7 c8d7 c8e6 c8f5 c8g4 c8h3 a8b8 f6e8 f6d7 f6h5 f6d5 f6g4 f6e4 c6b8 c6e5 c6a5 c6d4 c6b4 h7h6 g7g6 b7b6 a7a6 d6d5 h7h5 g7g5 b7b5 a7a5
